name,level,city,district,country,full_address,rating_percentage,average_project_size,large_project_size,references_count,certified_experts_count,profile_url,logo_url,scraped_at
Codequarters,Gold,Türkiye,90,Ankara,"90, Türkiye, Ankara, Çankaya, 06510",,26 kullanıcı,~200 kullanıcı,52,8,https://www.odoo.com/tr_TR/partners/codequarters-679964?country_id=215,https://odoocdn.com/web/image/res.partner/679964/image_128/Codequarters?unique=3a2f7b6,2026-01-30T13:21:47.763511
Rasard Teknoloji,Silver,Türkiye,84,İstanbul,"84, Türkiye, İstanbul, GEBZE, 41480",,9 kullanıcı,~40 kullanıcı,46,3,https://www.odoo.com/tr_TR/partners/rasard-teknoloji-10709490?country_id=215,https://odoocdn.com/web/image/res.partner/10709490/image_128/Rasard%20Teknoloji?unique=9020fac,2026-01-30T13:21:47.764170
Drysharks Consulting and trading LTD,Silver,Türkiye,92,Bursa,"92, Türkiye, Bursa, Görükle, 3300",,13 kullanıcı,~200 kullanıcı,42,4,https://www.odoo.com/tr_TR/partners/drysharks-consulting-and-trading-ltd-11421873?country_id=215,https://odoocdn.com/web/image/res.partner/11421873/image_128/Drysharks%20Consulting%20and%20trading%20LTD?unique=dd62bab,2026-01-30T13:21:47.764720
Kıta Yazılım,Silver,Türkiye,100,İstanbul,"100, Türkiye, İstanbul",,8 kullanıcı,~50 kullanıcı,25,3,https://www.odoo.com/tr_TR/partners/kıta-yazılım-12223392?country_id=215,https://odoocdn.com/web/image/res.partner/12223392/image_128/K%C4%B1ta%20Yaz%C4%B1l%C4%B1m?unique=e15334f,2026-01-30T13:21:47.765155
Projet Solutions,Silver,Türkiye,100,İstanbul,"100, Türkiye, İstanbul, 34400",,8 kullanıcı,~20 kullanıcı,20,3,https://www.odoo.com/tr_TR/partners/projet-solutions-27214238?country_id=215,https://odoocdn.com/web/image/res.partner/27214238/image_128/Projet%20Solutions?unique=8cebcd2,2026-01-30T13:21:47.765594
MindDX Dijital Dönüşüm Teknolojileri San. Ve Tic. A.Ş.,Silver,Istanbul,Türkiye,34218,"Türkiye, Istanbul, 34218",,16 kullanıcı,~40 kullanıcı,8,3,https://www.odoo.com/tr_TR/partners/minddx-dijital-donusum-teknolojileri-san-ve-tic-as-17922279?country_id=215,https://odoocdn.com/web/image/res.partner/17922279/image_128/MindDX%20Dijital%20D%C3%B6n%C3%BC%C5%9F%C3%BCm%20Teknolojileri%20San.%20Ve%20Tic.%20A.%C5%9E.?unique=7183055,2026-01-30T13:21:47.765958
ALKEDOS TEKNOLOJİ A.Ş.,Silver,İstanbul,Türkiye,Bakırköy,"Türkiye, İstanbul, Bakırköy, 34770",,22 kullanıcı,~200 kullanıcı,6,3,https://www.odoo.com/tr_TR/partners/alkedos-teknoloji-as-17943352?country_id=215,https://odoocdn.com/web/image/res.partner/17943352/image_128/ALKEDOS%20TEKNOLOJ%C4%B0%20A.%C5%9E.?unique=c817e3a,2026-01-30T13:21:47.766340
Eska Yazılım ve Danışmanlık A.Ş.,Ready,Türkiye,86,İstanbul,"86, Türkiye, İstanbul, 34149",,14 kullanıcı,~100 kullanıcı,39,4,https://www.odoo.com/tr_TR/partners/eska-yazılım-ve-danısmanlık-as-5856007?country_id=215,https://odoocdn.com/web/image/res.partner/5856007/image_128/Eska%20Yaz%C4%B1l%C4%B1m%20ve%20Dan%C4%B1%C5%9Fmanl%C4%B1k%20A.%C5%9E.?unique=b4eb736,2026-01-30T13:21:47.766836
Boraq Group,Ready,Türkiye,80,İstanbul,"80, Türkiye, İstanbul, BAĞCILAR, 34218",,12 kullanıcı,~100 kullanıcı,19,2,https://www.odoo.com/tr_TR/partners/boraq-group-1275410?country_id=215,https://odoocdn.com/web/image/res.partner/1275410/image_128/Boraq%20Group?unique=44ce2ec,2026-01-30T13:21:47.767308
Sanarise Teknoloji Endüstriyel İm. San. ve Tic. Ltd. Şti.,Ready,İstanbul,Türkiye,34846,"Türkiye, İstanbul, 34846",,15 kullanıcı,~100 kullanıcı,13,3,https://www.odoo.com/tr_TR/partners/sanarise-teknoloji-endustriyel-im-san-ve-tic-ltd-sti-6828056?country_id=215,https://odoocdn.com/web/image/res.partner/6828056/image_128/Sanarise%20Teknoloji%20End%C3%BCstriyel%20%C4%B0m.%20San.%20ve%20Tic.%20Ltd.%20%C5%9Eti.?unique=b2e5761,2026-01-30T13:21:47.767684
ERP YAZILIM DANIŞMANLIK A.Ş.,Ready,İstanbul,Türkiye,34912,"Türkiye, İstanbul, 34912",,7 kullanıcı,~40 kullanıcı,12,3,https://www.odoo.com/tr_TR/partners/erp-yazilim-danismanlik-as-15389595?country_id=215,https://odoocdn.com/web/image/res.partner/15389595/image_128/ERP%20YAZILIM%20DANI%C5%9EMANLIK%20A.%C5%9E.?unique=ec76c77,2026-01-30T13:21:47.768075
